image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
2,1,0,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,1.9022295475006104,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,2,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,4321.418638706207,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,3,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,27.52529525756836,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,4,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.582620143890381,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,5,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,4.057459115982056,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,6,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.5183119773864746,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,2387.126389026642,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,8,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,6.8542821407318115,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,9,0,0,10,0.75,720000.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.8071670532226562,initial_label_local_verify_time,6771.767225,6771.767225,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,0,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,1.6915838718414307,initial_label_local_verify_time,74.774888,5175.025006,Verified,4,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_02_ub_0p75_timeouts_10_720000/000_all_labels_eran_run.log
