Image Index,X patch,Y patch,Patch Size,Upper bound,Timeout MILP (s),Initial Timeout Labels,Finally Verified Labels,Adversarial Labels,Unresolved Labels,ERAN Run Times,Total Run Time (s),Max Depth Reached,Attempt Count,Status,Comment,Log paths,CSV path
2,0,0,10,0.7,15.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:01:10.378409', '0:00:27.398325', '0:00:26.973234', '0:00:27.206357', '0:00:27.986112', '0:00:27.231718', '0:00:27.475296', '0:00:27.237788', '0:00:27.781738']",289.668977,4,9,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=8 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/006_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/007_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_15_try_01/008_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.7,30.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:01:36.633274', '0:00:42.562371', '0:00:42.117151', '0:00:42.048980', '0:00:42.551646', '0:00:42.000214', '0:00:42.107709', '0:00:41.869559', '0:00:43.016506']",434.90741,4,9,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=8 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/006_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/007_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_30_try_02/008_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.7,60.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:02:35.179917', '0:01:12.370072', '0:01:11.891731', '0:01:11.898399', '0:01:12.042709', '0:01:11.962059', '0:01:11.964653', '0:01:12.057728', '0:01:12.573444']",731.940712,4,9,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=8 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/006_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/007_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_60_try_03/008_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.7,120.0,"[2, 7]","[0, 3, 4, 5, 6, 7, 8, 9]",[],[2],"['0:04:41.817624', '0:02:12.234450', '0:02:11.993639', '0:02:11.913285', '0:02:12.278012', '0:02:12.061748', '0:02:04.063989']",1066.362747,4,7,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=6 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_120_try_04/006_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.7,200.0,"[2, 7]","[0, 3, 4, 5, 6, 7, 8, 9]",[],[2],"['0:07:15.806934', '0:03:32.309378', '0:03:32.052228', '0:03:32.174402', '0:03:32.211727', '0:03:31.959537', '0:02:03.840115']",1620.354321,4,7,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=6 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_200_try_05/006_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.7,270.0,[2],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[],[],"['0:08:34.444237', '0:04:36.999970']",791.444207,1,2,Verified,Recursive timeout refinement finished. timed_out_initial=[2] rerun_attempts=1 stopped_early=False adversarial_label=None skipped_labels=[],/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_270_try_06/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p7_timeout_270_try_06/001_adv_label_2_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.75,200.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:07:42.884885', '0:03:33.451326', '0:03:33.379543', '0:03:33.403073', '0:03:33.538339', '0:03:34.014778', '0:03:33.310847', '0:03:33.562968', '0:03:33.863964']",2171.409723,4,9,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=8 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/006_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/007_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_200_try_01/008_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.75,600.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:21:05.293296', '0:10:14.108029', '0:10:13.584201', '0:10:13.580041', '0:10:13.858812', '0:10:13.317014', '0:10:13.287446', '0:10:13.951615', '0:10:13.691770']",6174.672224,4,9,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=8 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/006_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/007_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_600_try_02/008_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.75,1200.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:41:03.055164', '0:20:14.345252', '0:20:16.727351', '0:20:13.631645', '0:20:18.475830', '0:20:13.562374', '0:20:13.653695', '0:20:13.445178', '0:20:13.616381']",12180.51287,4,9,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=8 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/004_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/005_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/006_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/007_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_175035_ub_0p75_timeout_1200_try_03/008_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
2,0,0,10,0.75,3000.0,[2],"[0, 3, 4, 5, 6, 7, 8, 9]",[],[2],"['1:30:33.908190', '0:50:16.764255', '0:50:13.396370', '0:50:13.430162', '0:50:13.476705']",17490.975682,4,5,MaxDepthTimeout,Recursive timeout refinement finished. timed_out_initial=[2] rerun_attempts=4 stopped_early=False adversarial_label=None skipped_labels=[],/root/Projects/Nathan/Patch-Attack-Verification/logs/20260327/20260326_175035_ub_0p75_timeout_3000_try_04/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260327/20260326_175035_ub_0p75_timeout_3000_try_04/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260327/20260326_175035_ub_0p75_timeout_3000_try_04/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260327/20260326_175035_ub_0p75_timeout_3000_try_04/003_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260327/20260326_175035_ub_0p75_timeout_3000_try_04/004_adv_label_2_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_175035.csv
