image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
12,9,0,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,5.410444974899292,initial_label_local_verify_time,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,1,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.5468859672546387,initial_label_local_verify_time,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,2,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,4.158219814300537,initial_label_local_verify_time,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,3,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,4,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,5,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.502253770828247,initial_label_local_verify_time,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,6,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,6.033213376998901,initial_label_local_verify_time,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,7,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,8,0,0,10,1.0,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,86.718311,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/000_all_labels_eran_run.log
12,9,3,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,27.241393,rerun_attempt_runtime,27.241393,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/001_adv_label_3_eran_run.log
12,9,3,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,2,3,2,9,TIME_LIMIT,timeout,True,False,27.05491,rerun_attempt_runtime,27.05491,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/002_adv_label_3_eran_run.log
12,9,3,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,3,4,3,9,TIME_LIMIT,timeout,True,False,28.777228,rerun_attempt_runtime,28.777228,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/003_adv_label_3_eran_run.log
12,9,3,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,4,5,4,9,TIME_LIMIT,timeout,True,False,27.884691,rerun_attempt_runtime,27.884691,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/004_adv_label_3_eran_run.log
12,9,4,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,5,2,1,9,TIME_LIMIT,timeout,True,False,27.401098,rerun_attempt_runtime,27.401098,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/005_adv_label_4_eran_run.log
12,9,4,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,6,3,2,9,TIME_LIMIT,timeout,True,False,27.07923,rerun_attempt_runtime,27.07923,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/006_adv_label_4_eran_run.log
12,9,4,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,7,4,3,9,TIME_LIMIT,timeout,True,False,27.031227,rerun_attempt_runtime,27.031227,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/007_adv_label_4_eran_run.log
12,9,4,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,8,5,4,9,TIME_LIMIT,timeout,True,False,27.861627,rerun_attempt_runtime,27.861627,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/008_adv_label_4_eran_run.log
12,9,7,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,9,2,1,9,TIME_LIMIT,timeout,True,False,27.076325,rerun_attempt_runtime,27.076325,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/009_adv_label_7_eran_run.log
12,9,7,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,10,3,2,9,TIME_LIMIT,timeout,True,False,28.38873,rerun_attempt_runtime,28.38873,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/010_adv_label_7_eran_run.log
12,9,7,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,11,4,3,9,TIME_LIMIT,timeout,True,False,28.27372,rerun_attempt_runtime,28.27372,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/011_adv_label_7_eran_run.log
12,9,7,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,12,5,4,9,TIME_LIMIT,timeout,True,False,27.727174,rerun_attempt_runtime,27.727174,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/012_adv_label_7_eran_run.log
12,9,8,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,13,2,1,9,TIME_LIMIT,timeout,True,False,27.273768,rerun_attempt_runtime,27.273768,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/013_adv_label_8_eran_run.log
12,9,8,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,14,3,2,9,TIME_LIMIT,timeout,True,False,27.692819,rerun_attempt_runtime,27.692819,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/014_adv_label_8_eran_run.log
12,9,8,0,0,10,1.0,10.0,True,False,0.5,single_label_rerun,15,4,3,9,TIME_LIMIT,timeout,True,False,27.686456,rerun_attempt_runtime,27.686456,529.195166,MaxDepthTimeout,17,4,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_125237_run_01_ub_1_timeouts_10_10_10_10/015_adv_label_8_eran_run.log
