image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,skip_singleton_bounds,enable_split_bit_branch_priority,split_bit_branch_priority,split_indices,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path,top_k,split_selection_mode,split_random_seed,linear_constraint_matrix_constrs,linear_constraint_matrix_vars,linear_constraint_matrix_nzs,variable_types_continuous,variable_types_integer,variable_types_binary,general_constraints,matrix_coefficient_range,objective_coefficient_range,variable_bound_range,rhs_coefficient_range,linear_constraint_matrix_constrs_presolved,linear_constraint_matrix_vars_presolved,linear_constraint_matrix_nzs_presolved,variable_types_continuous_presolved,variable_types_integer_presolved,variable_types_binary_presolved,general_constraints_presolved,matrix_coefficient_range_presolved,objective_coefficient_range_presolved,variable_bound_range_presolved,rhs_coefficient_range_presolved,optimizer_presolve_removed_rows,optimizer_presolve_removed_columns,optimizer_presolve_removed_steps,optimizer_presolve_time_seconds,optimizer_presolved_rows,optimizer_presolved_columns,optimizer_presolved_nonzeros,optimizer_presolved_variable_types_continuous,optimizer_presolved_variable_types_integer,optimizer_presolved_variable_types_binary,extra_simplex_iterations_after_uncrush,extra_simplex_iterations_dual_to_original,root_relaxation_result,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,explored_nodes,explored_simplex_iterations,explored_time_seconds,mip_final_status,mip_final_runtime_seconds,mip_final_nodes,mip_final_objbound,mip_final_solcnt,relaxed_presolve_removed_rows,relaxed_presolve_removed_columns,relaxed_presolve_removed_steps,relaxed_presolve_time_seconds,relaxed_presolved_rows,relaxed_presolved_columns,relaxed_presolved_nonzeros,relaxed_presolved_variable_types_continuous,relaxed_presolved_variable_types_integer,relaxed_presolved_variable_types_binary,relaxed_extra_simplex_iterations_after_uncrush,relaxed_extra_simplex_iterations_dual_to_original,relaxed_barrier_solved_iterations,relaxed_barrier_solved_seconds,relaxed_solved_iterations,relaxed_solved_seconds,relaxed_optimal_objective,cutting_planes_clique,cutting_planes_cover,cutting_planes_flow_cover,cutting_planes_implied_bound,cutting_planes_mir,cutting_planes_projected_implied_bound,cutting_planes_relax_and_lift,cutting_planes_rlt,cutting_planes_learned,relaxed_barrier_aa_nz,relaxed_barrier_dense_cols,relaxed_barrier_factor_nz,relaxed_barrier_factor_ops,relaxed_barrier_free_vars,relaxed_barrier_threads,cutting_planes_gomory,cutting_planes_network,cutting_planes_strongcg,cutting_planes_zero_half
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,6,CUTOFF,verified,False,False,2757.1309797763824,initial_label_local_verify_time,2770.253705,2770.253705,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_01_ub_0p75_adv_label_7_timeouts_720000/000_adv_label_7_eran_run.log,30,max,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.48,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,2.02,4985,3407700,2754.72,6,2754.71,4985.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,1,7,261,80,417,2,84,1323,,,,,,,,,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,27.625134,1847.949855,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_02_ub_0p75_adv_label_7_timeouts_10_720000/000_adv_label_7_eran_run.log,30,max,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.43,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,1.97,1,3691,10.05,9,10.04,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.58,1402,54642,294503,,,,684,39,39,1.39,1813,2.21,-1.666604803e+00,3,20,709,101,211,,,,1,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,"[232, 233, 231, 230, 205, 203, 261, 229, 204, 202, 258, 201, 257, 200, 228, 226, 227, 198, 256, 199, 225, 260, 176, 197, 170, 169, 259, 253, 254, 255]",single_label_rerun,1,2,1,6,CUTOFF,verified,False,False,1820.324721,rerun_attempt_runtime,1820.324721,1847.949855,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_02_ub_0p75_adv_label_7_timeouts_10_720000/001_adv_label_7_eran_run.log,30,max,42,128733,8772,724867,8132,640,640,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54647,1908,294089,1317,591,591,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2747 ]",74086,6864,,2.64,54647,1908,294089,1317,591,591,49,40,objective,-1.661463e+00,3827,2.18,3259,2026898,1804.65,6,1804.65,3259.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,19,35,287,49,293,1,74,922,1,,,,,,,,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,27.593213,3800.736626,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_03_ub_0p75_adv_label_7_timeouts_10_10_720000/000_adv_label_7_eran_run.log,30,max,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.49,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,1.98,1,3691,10.03,9,10.02,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.57,1402,54642,294503,,,,684,39,39,1.58,1813,2.36,-1.666604803e+00,3,20,709,101,211,,,,1,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,"[232, 233, 231, 230, 205, 203, 261, 229, 204, 202, 258, 201, 257, 200, 228, 226, 227, 198, 256, 199, 225, 260, 176, 197, 170, 169, 259, 253, 254, 255]",single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,28.29476,rerun_attempt_runtime,28.29476,3800.736626,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_03_ub_0p75_adv_label_7_timeouts_10_10_720000/001_adv_label_7_eran_run.log,30,max,42,128733,8772,724867,8132,640,640,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54647,1908,294089,1317,591,591,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2747 ]",74086,6864,,2.76,54647,1908,294089,1317,591,591,49,40,objective,-1.661463e+00,3827,2.17,1,4050,10.04,9,10.03,1.0,-1.6614639624613483,0,,,"[(75846, 7392), (7340, 82773)]",0.6,1432,54732,294653,,,,722,29,41,1.58,932,2.33,-1.666604803e+00,20,34,402,97,143,,,,1,87350.0,213,2.160e+05 (roughly 24 MBytes of memory),4.209e+07 (less than 1 second per iteration),646,14,1,,,
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,"[232, 233, 231, 230, 205, 203, 261, 229, 204, 202, 258, 201, 257, 200, 228, 226, 227, 198, 256, 199, 225, 260, 176, 197, 170, 169, 259, 253, 254, 255]",single_label_rerun,2,3,2,6,CUTOFF,verified,False,False,3744.848653,rerun_attempt_runtime,3744.848653,3800.736626,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_03_ub_0p75_adv_label_7_timeouts_10_10_720000/002_adv_label_7_eran_run.log,30,max,42,128763,8862,725167,8192,670,670,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54735,2058,288876,1437,621,621,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74028,6804,,1.98,54735,2058,288876,1437,621,621,39,41,objective,-1.665423e+00,3543,2.02,5258,4337197,3729.88,6,3729.88,5258.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,1,7,305,77,471,,63,1369,,,,,,,,,8,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,26.979823,3084.76787,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_04_ub_0p75_adv_label_7_timeouts_10_10_10_720000/000_adv_label_7_eran_run.log,30,max,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.33,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,1.82,1,3691,10.03,9,10.03,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.53,1402,54642,294503,,,,684,39,39,1.17,1813,1.92,-1.666604803e+00,3,20,708,101,226,,,,1,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,"[232, 233, 231, 230, 205, 203, 261, 229, 204, 202, 258, 201, 257, 200, 228, 226, 227, 198, 256, 199, 225, 260, 176, 197, 170, 169, 259, 253, 254, 255]",single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,27.318263,rerun_attempt_runtime,27.318263,3084.76787,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_04_ub_0p75_adv_label_7_timeouts_10_10_10_720000/001_adv_label_7_eran_run.log,30,max,42,128733,8772,724867,8132,640,640,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54647,1908,294089,1317,591,591,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2747 ]",74086,6864,,2.43,54647,1908,294089,1317,591,591,49,40,objective,-1.661463e+00,3827,1.96,1,4050,10.01,9,10.01,1.0,-1.6614639624613483,0,,,"[(75846, 7392), (7340, 82773)]",0.53,1432,54732,294653,,,,722,29,41,1.34,932,2.07,-1.666604803e+00,20,34,320,95,118,,58,203,1,87350.0,213,2.160e+05 (roughly 24 MBytes of memory),4.209e+07 (less than 1 second per iteration),646,14,1,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,"[232, 233, 231, 230, 205, 203, 261, 229, 204, 202, 258, 201, 257, 200, 228, 226, 227, 198, 256, 199, 225, 260, 176, 197, 170, 169, 259, 253, 254, 255]",single_label_rerun,2,3,2,9,TIME_LIMIT,timeout,True,False,26.630686,rerun_attempt_runtime,26.630686,3084.76787,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_04_ub_0p75_adv_label_7_timeouts_10_10_10_720000/002_adv_label_7_eran_run.log,30,max,42,128763,8862,725167,8192,670,670,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54735,2058,288876,1437,621,621,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74028,6804,,1.83,54735,2058,288876,1437,621,621,39,41,objective,-1.665423e+00,3543,1.84,1,3842,10.01,9,10.01,1.0,-1.6654234865105249,0,,,"[(75756, 7392), (7370, 82743)]",0.81,1492,54882,295043,,,,699,22,40,1.45,979,2.22,-1.666604803e+00,4,24,374,124,127,,76,248,,87500.0,213,2.162e+05 (roughly 24 MBytes of memory),4.209e+07 (less than 1 second per iteration),646,14,,,,
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,"[232, 233, 231, 230, 205, 203, 261, 229, 204, 202, 258, 201, 257, 200, 228, 226, 227, 198, 256, 199, 225, 260, 176, 197, 170, 169, 259, 253, 254, 255]",single_label_rerun,3,4,3,6,CUTOFF,verified,False,False,3003.839098,rerun_attempt_runtime,3003.839098,3084.76787,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260515/20260515_122648_run_04_ub_0p75_adv_label_7_timeouts_10_10_10_720000/003_adv_label_7_eran_run.log,30,max,42,128793,9012,725797,8312,700,700,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54769,2208,294878,1557,651,651,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74024,6804,,2.39,54769,2208,294878,1557,651,651,42,47,objective,-1.663235e+00,3749,1.9,4544,3521048,2988.73,6,2988.72,4544.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,,6,266,49,380,1,55,1133,1,,,,,,,,,,
