image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,skip_singleton_bounds,enable_split_bit_branch_priority,split_bit_branch_priority,split_indices,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path,top_k,split_selection_mode,split_random_seed,linear_constraint_matrix_constrs,linear_constraint_matrix_vars,linear_constraint_matrix_nzs,variable_types_continuous,variable_types_integer,variable_types_binary,general_constraints,matrix_coefficient_range,objective_coefficient_range,variable_bound_range,rhs_coefficient_range,linear_constraint_matrix_constrs_presolved,linear_constraint_matrix_vars_presolved,linear_constraint_matrix_nzs_presolved,variable_types_continuous_presolved,variable_types_integer_presolved,variable_types_binary_presolved,general_constraints_presolved,matrix_coefficient_range_presolved,objective_coefficient_range_presolved,variable_bound_range_presolved,rhs_coefficient_range_presolved,optimizer_presolve_removed_rows,optimizer_presolve_removed_columns,optimizer_presolve_removed_steps,optimizer_presolve_time_seconds,optimizer_presolved_rows,optimizer_presolved_columns,optimizer_presolved_nonzeros,optimizer_presolved_variable_types_continuous,optimizer_presolved_variable_types_integer,optimizer_presolved_variable_types_binary,extra_simplex_iterations_after_uncrush,extra_simplex_iterations_dual_to_original,root_relaxation_result,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,explored_nodes,explored_simplex_iterations,explored_time_seconds,mip_final_status,mip_final_runtime_seconds,mip_final_nodes,mip_final_objbound,mip_final_solcnt,relaxed_presolve_removed_rows,relaxed_presolve_removed_columns,relaxed_presolve_removed_steps,relaxed_presolve_time_seconds,relaxed_presolved_rows,relaxed_presolved_columns,relaxed_presolved_nonzeros,relaxed_presolved_variable_types_continuous,relaxed_presolved_variable_types_integer,relaxed_presolved_variable_types_binary,relaxed_extra_simplex_iterations_after_uncrush,relaxed_extra_simplex_iterations_dual_to_original,relaxed_barrier_solved_iterations,relaxed_barrier_solved_seconds,relaxed_solved_iterations,relaxed_solved_seconds,relaxed_optimal_objective,cutting_planes_clique,cutting_planes_cover,cutting_planes_flow_cover,cutting_planes_implied_bound,cutting_planes_learned,cutting_planes_mir,relaxed_barrier_aa_nz,relaxed_barrier_dense_cols,relaxed_barrier_factor_nz,relaxed_barrier_factor_ops,relaxed_barrier_free_vars,relaxed_barrier_threads,cutting_planes_gomory,cutting_planes_projected_implied_bound,cutting_planes_relax_and_lift,cutting_planes_rlt,cutting_planes_zero_half,cutting_planes_network
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,27.975212,1591.704826,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_01_ub_0p75_adv_label_7_timeouts_10_720000/000_adv_label_7_eran_run.log,20,random,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.44,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,2.03,1,3691,10.02,9,10.02,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.58,1402,54642,294503,,,,684,39,39,1.56,1813,2.33,-1.666604803e+00,3,20,702,102,1,188,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,,,
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,"[225, 32, 3, 256, 89, 85, 64, 35, 31, 230, 177, 29, 201, 144, 4, 63, 65, 172, 203, 197]",single_label_rerun,1,2,1,6,CUTOFF,verified,False,False,1563.729614,rerun_attempt_runtime,1563.729614,1591.704826,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_01_ub_0p75_adv_label_7_timeouts_10_720000/001_adv_label_7_eran_run.log,20,random,42,128723,8742,724817,8122,620,620,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54625,1898,294007,1317,581,581,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2667 ]",74098,6844,,2.67,54625,1898,294007,1317,581,581,63,52,objective,-1.662526e+00,3403,1.93,2308,1611252,1547.89,6,1547.89,2308.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,3,16,219,33,,265,,,,,,,1,1,60,693,1,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,27.098943,1779.35089,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_02_ub_0p75_adv_label_7_timeouts_10_10_720000/000_adv_label_7_eran_run.log,20,random,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.23,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,1.81,1,3691,10.03,9,10.03,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.79,1402,54642,294503,,,,684,39,39,1.47,1813,2.29,-1.666604803e+00,3,20,708,101,1,226,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,"[225, 32, 3, 256, 89, 85, 64, 35, 31, 230, 177, 29, 201, 144, 4, 63, 65, 172, 203, 197]",single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,28.341823,rerun_attempt_runtime,28.341823,1779.35089,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_02_ub_0p75_adv_label_7_timeouts_10_10_720000/001_adv_label_7_eran_run.log,20,random,42,128723,8742,724817,8122,620,620,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54625,1898,294007,1317,581,581,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2667 ]",74098,6844,,2.49,54625,1898,294007,1317,581,581,63,52,objective,-1.662526e+00,3403,1.75,1,3631,10.01,9,10.0,1.0,-1.662526842185681,0,,,"[(75846, 7372), (7320, 82763)]",0.54,1422,54702,294603,,,,963,,38,1.37,4147,3.1,-1.666604800e+00,8,26,507,98,2,165,87340.0,213,2.160e+05 (roughly 24 MBytes of memory),4.209e+07 (less than 1 second per iteration),646,14,,,69,186,,
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,"[61, 253, 227, 233, 177, 143, 64, 147, 201, 89, 0, 259, 56, 144, 115, 37, 63, 31, 29, 120]",single_label_rerun,2,3,2,6,CUTOFF,verified,False,False,1723.910124,rerun_attempt_runtime,1723.910124,1779.35089,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_02_ub_0p75_adv_label_7_timeouts_10_10_720000/002_adv_label_7_eran_run.log,20,random,42,128743,8802,724957,8150,652,652,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54676,1950,294151,1349,601,601,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2728 ]",74067,6852,,2.38,54676,1950,294151,1349,601,601,44,34,objective,-1.662400e+00,3230,1.62,2789,2174112,1709.08,6,1709.07,2789.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,4,16,236,53,,302,,,,,,,1,2,93,823,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,26.912856,1447.353655,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_03_ub_0p75_adv_label_7_timeouts_10_10_10_720000/000_adv_label_7_eran_run.log,20,random,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.33,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,1.84,1,3691,10.09,9,10.08,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.53,1402,54642,294503,,,,684,39,39,1.26,1813,2.02,-1.666604803e+00,3,20,535,97,1,226,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,"[225, 32, 3, 256, 89, 85, 64, 35, 31, 230, 177, 29, 201, 144, 4, 63, 65, 172, 203, 197]",single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,28.186494,rerun_attempt_runtime,28.186494,1447.353655,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_03_ub_0p75_adv_label_7_timeouts_10_10_10_720000/001_adv_label_7_eran_run.log,20,random,42,128723,8742,724817,8122,620,620,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54625,1898,294007,1317,581,581,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2667 ]",74098,6844,,2.45,54625,1898,294007,1317,581,581,63,52,objective,-1.662526e+00,3403,1.75,1,3631,10.01,9,10.01,1.0,-1.662526842185681,0,,,"[(75846, 7372), (7320, 82763)]",0.53,1422,54702,294603,,,,1037,37,38,1.24,8519,3.21,-1.666604803e+00,8,26,507,98,2,165,87340.0,213,2.160e+05 (roughly 24 MBytes of memory),4.209e+07 (less than 1 second per iteration),646,14,,,69,186,,
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,"[61, 253, 227, 233, 177, 143, 64, 147, 201, 89, 0, 259, 56, 144, 115, 37, 63, 31, 29, 120]",single_label_rerun,2,3,2,9,TIME_LIMIT,timeout,True,False,27.430733,rerun_attempt_runtime,27.430733,1447.353655,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_03_ub_0p75_adv_label_7_timeouts_10_10_10_720000/002_adv_label_7_eran_run.log,20,random,42,128743,8802,724957,8150,652,652,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54676,1950,294151,1349,601,601,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2728 ]",74067,6852,,2.41,54676,1950,294151,1349,601,601,44,34,objective,-1.662400e+00,3230,1.63,1,3455,10.01,9,10.01,1.0,-1.662400497688079,0,,,"[(75822, 7396), (7352, 82767)]",0.54,1450,54778,294767,,,,996,42,42,1.26,1227,2.52,-1.666604803e+00,9,30,337,99,2,123,87390.0,213,2.161e+05 (roughly 24 MBytes of memory),4.209e+07 (less than 1 second per iteration),646,14,,,68,207,,
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,False,False,1000,"[30, 117, 116, 203, 87, 5, 255, 148, 176, 33, 120, 28, 196, 91, 224, 205, 118, 199, 60, 252]",single_label_rerun,3,4,3,6,CUTOFF,verified,False,False,1364.823572,rerun_attempt_runtime,1364.823572,1447.353655,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_03_ub_0p75_adv_label_7_timeouts_10_10_10_720000/003_adv_label_7_eran_run.log,20,random,42,128763,8862,725067,8172,690,690,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54715,1978,294312,1357,621,621,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.2654 ]",74048,6884,,2.55,54715,1978,294312,1357,621,621,55,46,objective,-1.662606e+00,3522,1.77,2471,1694719,1349.46,6,1349.46,2471.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,5,31,188,37,,253,,,,,,,,,63,613,,2
2,1,7,0,0,10,0.75,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,27.224634,1271.413474,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_142920_run_04_ub_0p75_adv_label_7_timeouts_10_720000/000_adv_label_7_eran_run.log,10,random,42,128703,8682,724717,8102,580,580,580,"[ 1.01469e-13, 35.1672 ]","[ 1, 1 ]","[ 3.90274e-09, 35.1672 ]","[ 1.67848e-38, 22.292 ]",54589,1878,293709,1317,561,561,,"[ 9.78159e-10, 35.1672 ]","[ 1, 1 ]","[ 6.33653e-07, 35.1672 ]","[ 4.89465e-08, 22.292 ]",74114,6804,,2.28,54589,1878,293709,1317,561,561,18,41,objective,-1.663233e+00,3504,1.82,1,3691,10.02,9,10.02,1.0,-1.6632337329367068,0,,,"[(75846, 7332), (7280, 82743)]",0.81,1402,54642,294503,,,,684,39,39,1.56,1813,2.31,-1.666604803e+00,3,20,708,101,1,226,83930.0,225,2.054e+05 (roughly 24 MBytes of memory),3.834e+07 (less than 1 second per iteration),646,14,,,,,,
