image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,skip_singleton_bounds,enable_split_bit_branch_priority,split_bit_branch_priority,split_indices,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path,top_k,split_selection_mode,split_random_seed,linear_constraint_matrix_constrs,linear_constraint_matrix_vars,linear_constraint_matrix_nzs,variable_types_continuous,variable_types_integer,variable_types_binary,general_constraints,matrix_coefficient_range,objective_coefficient_range,variable_bound_range,rhs_coefficient_range,linear_constraint_matrix_constrs_presolved,linear_constraint_matrix_vars_presolved,linear_constraint_matrix_nzs_presolved,variable_types_continuous_presolved,variable_types_integer_presolved,variable_types_binary_presolved,general_constraints_presolved,matrix_coefficient_range_presolved,objective_coefficient_range_presolved,variable_bound_range_presolved,rhs_coefficient_range_presolved,optimizer_presolve_removed_rows,optimizer_presolve_removed_columns,optimizer_presolve_removed_steps,optimizer_presolve_time_seconds,optimizer_presolved_rows,optimizer_presolved_columns,optimizer_presolved_nonzeros,optimizer_presolved_variable_types_continuous,optimizer_presolved_variable_types_integer,optimizer_presolved_variable_types_binary,extra_simplex_iterations_after_uncrush,extra_simplex_iterations_dual_to_original,root_relaxation_result,root_relaxation_objective,root_relaxation_iterations,root_relaxation_seconds,explored_nodes,explored_simplex_iterations,explored_time_seconds,mip_final_status,mip_final_runtime_seconds,mip_final_nodes,mip_final_objbound,mip_final_solcnt,relaxed_presolve_removed_rows,relaxed_presolve_removed_columns,relaxed_presolve_removed_steps,relaxed_presolve_time_seconds,relaxed_presolved_rows,relaxed_presolved_columns,relaxed_presolved_nonzeros,relaxed_presolved_variable_types_continuous,relaxed_presolved_variable_types_integer,relaxed_presolved_variable_types_binary,relaxed_extra_simplex_iterations_after_uncrush,relaxed_extra_simplex_iterations_dual_to_original,relaxed_barrier_solved_iterations,relaxed_barrier_solved_seconds,relaxed_solved_iterations,relaxed_solved_seconds,relaxed_optimal_objective,cutting_planes_cover,cutting_planes_flow_cover,cutting_planes_implied_bound,cutting_planes_learned,cutting_planes_mir,cutting_planes_relax_and_lift,cutting_planes_rlt,cutting_planes_strongcg,relaxed_barrier_aa_nz,relaxed_barrier_dense_cols,relaxed_barrier_factor_nz,relaxed_barrier_factor_ops,relaxed_barrier_free_vars,relaxed_barrier_threads,cutting_planes_clique,cutting_planes_projected_implied_bound,cutting_planes_network,cutting_planes_gomory,cutting_planes_zero_half
7,9,2,0,0,9,0.8,72000.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,11,INTERRUPTED,verified,False,False,828.9856777191162,initial_label_local_verify_time,837.063516,837.063516,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_01_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_72000/000_adv_label_2_eran_run.log,30,max,42,76550,8498,552925,8083,415,415,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31422,1511,175647,1098,413,413,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 7.75677e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45128,6987,,1.19,31422,1511,175647,1098,413,413,19,23,objective,-1.743925e+00,2951,0.95,3098,2144774,827.77,11,827.76,3098.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,28,350,136,3,513,96,1553,1,,,,,,,,,,,
7,9,2,0,0,9,0.8,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,20.265809,1201.657717,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_02_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_72000/000_adv_label_2_eran_run.log,10,random,42,76550,8498,552925,8083,415,415,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31422,1511,175647,1098,413,413,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 7.75677e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45128,6987,,1.19,31422,1511,175647,1098,413,413,19,23,objective,-1.743925e+00,2951,0.95,1,5527,10.01,9,10.01,1.0,-1.4252987674775084,0,,,"[(46395, 7402), (7337, 53385)]",0.32,1161,31663,179909,,,,802,22,43,0.84,951,1.31,-1.743923751e+00,6,171,51,,107,59,272,,62670.0,213,1.476e+05 (roughly 14 MBytes of memory),2.357e+07 (less than 1 second per iteration),612,14,,,,,
7,9,2,0,0,9,0.8,72000.0,True,False,0.5,False,False,1000,"[33, 3, 92, 88, 85, 36, 32, 202, 30, 168]",single_label_rerun,1,2,1,6,CUTOFF,verified,False,False,1181.391908,rerun_attempt_runtime,1181.391908,1201.657717,Verified,2,1,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_02_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_72000/001_adv_label_2_eran_run.log,10,random,42,76560,8528,552975,8093,435,435,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31442,1521,176733,1098,423,423,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 6.72467e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45118,7007,,1.24,31442,1521,176733,1098,423,423,73,38,objective,-1.743792e+00,2745,0.88,4637,2626322,1172.22,6,1172.22,4637.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,13,172,40,1,260,74,653,,,,,,,,5,1,,,
7,9,2,0,0,9,0.8,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,20.519333,2163.71139,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_03_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_72000/000_adv_label_2_eran_run.log,10,random,42,76550,8498,552925,8083,415,415,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31422,1511,175647,1098,413,413,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 7.75677e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45128,6987,,1.2,31422,1511,175647,1098,413,413,19,23,objective,-1.743925e+00,2951,0.96,1,5527,10.01,9,10.01,1.0,-1.4252987674775084,0,,,"[(46395, 7402), (7337, 53385)]",0.31,1161,31663,179909,,,,802,22,43,0.82,951,1.3,-1.743923751e+00,6,189,51,,125,39,128,,62670.0,213,1.476e+05 (roughly 14 MBytes of memory),2.357e+07 (less than 1 second per iteration),612,14,,,,,
7,9,2,0,0,9,0.8,10.0,True,False,0.5,False,False,1000,"[33, 3, 92, 88, 85, 36, 32, 202, 30, 168]",single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,20.55626,rerun_attempt_runtime,20.55626,2163.71139,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_03_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_72000/001_adv_label_2_eran_run.log,10,random,42,76560,8528,552975,8093,435,435,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31442,1521,176733,1098,423,423,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 6.72467e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45118,7007,,1.23,31442,1521,176733,1098,423,423,73,38,objective,-1.743792e+00,2745,0.88,1,5470,10.01,9,10.01,1.0,-1.5686109832247097,0,,,"[(46395, 7422), (7357, 53395)]",0.32,1171,31693,179959,,,,864,34,37,0.91,1028,1.55,-1.743923751e+00,7,109,48,,90,33,128,,62680.0,213,1.476e+05 (roughly 14 MBytes of memory),2.357e+07 (less than 1 second per iteration),612,14,4,,,,
7,9,2,0,0,9,0.8,72000.0,True,False,0.5,False,False,1000,"[4, 3, 30, 84, 86, 197, 231, 204, 63, 202]",single_label_rerun,2,3,2,6,CUTOFF,verified,False,False,2122.635797,rerun_attempt_runtime,2122.635797,2163.71139,Verified,3,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_03_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_72000/002_adv_label_2_eran_run.log,10,random,42,76570,8558,553040,8106,452,452,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31465,1543,178927,1110,433,433,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 6.17312e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45105,7015,,1.35,31465,1543,178927,1110,433,433,19,39,objective,-1.743672e+00,2879,0.94,11833,5867407,2113.56,6,2113.55,11833.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
7,9,2,0,0,9,0.8,10.0,True,False,0.5,False,False,1000,[],initial_single_label,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,20.330992,954.637911,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_04_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_10_72000/000_adv_label_2_eran_run.log,10,random,42,76550,8498,552925,8083,415,415,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31422,1511,175647,1098,413,413,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 7.75677e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45128,6987,,1.19,31422,1511,175647,1098,413,413,19,23,objective,-1.743925e+00,2951,0.95,1,5527,10.01,9,10.01,1.0,-1.4252987674775084,0,,,"[(46395, 7402), (7337, 53385)]",0.32,1161,31663,179909,,,,802,22,43,0.98,951,1.47,-1.743923751e+00,6,189,51,,125,39,128,,62670.0,213,1.476e+05 (roughly 14 MBytes of memory),2.357e+07 (less than 1 second per iteration),612,14,,,,,
7,9,2,0,0,9,0.8,10.0,True,False,0.5,False,False,1000,"[33, 3, 92, 88, 85, 36, 32, 202, 30, 168]",single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,20.315429,rerun_attempt_runtime,20.315429,954.637911,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_04_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_10_72000/001_adv_label_2_eran_run.log,10,random,42,76560,8528,552975,8093,435,435,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31442,1521,176733,1098,423,423,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 6.72467e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45118,7007,,1.26,31442,1521,176733,1098,423,423,73,38,objective,-1.743792e+00,2745,0.89,1,5470,10.02,9,10.01,1.0,-1.5686109832247097,0,,,"[(46395, 7422), (7357, 53395)]",0.32,1171,31693,179959,,,,864,34,37,0.75,1028,1.3,-1.743923751e+00,7,109,48,,90,33,128,,62680.0,213,1.476e+05 (roughly 14 MBytes of memory),2.357e+07 (less than 1 second per iteration),612,14,4,,,,
7,9,2,0,0,9,0.8,10.0,True,False,0.5,False,False,1000,"[4, 3, 30, 84, 86, 197, 231, 204, 63, 202]",single_label_rerun,2,3,2,9,TIME_LIMIT,timeout,True,False,20.44882,rerun_attempt_runtime,20.44882,954.637911,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_04_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_10_72000/002_adv_label_2_eran_run.log,10,random,42,76570,8558,553040,8106,452,452,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31465,1543,178927,1110,433,433,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 6.17312e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45105,7015,,1.37,31465,1543,178927,1110,433,433,19,39,objective,-1.743672e+00,2879,0.95,1,5753,10.01,9,10.01,1.0,-1.5027095635925876,0,,,"[(46386, 7436), (7374, 53399)]",0.32,1184,31729,180033,,,,675,1,39,0.72,900,1.22,-1.743923713e+00,7,100,52,,77,39,132,1,62700.0,213,1.477e+05 (roughly 14 MBytes of memory),2.357e+07 (less than 1 second per iteration),612,14,6,,,,
7,9,2,0,0,9,0.8,72000.0,True,False,0.5,False,False,1000,"[148, 85, 171, 227, 92, 0, 58, 168, 119, 228]",single_label_rerun,3,4,3,6,CUTOFF,verified,False,False,893.54267,rerun_attempt_runtime,893.54267,954.637911,Verified,4,3,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260516/20260516_213137_run_04_img_7_patch_0_0_size_9_max_depth_4_ub_0p8_adv_label_2_timeouts_10_10_10_72000/003_adv_label_2_eran_run.log,10,random,42,76580,8588,553105,8119,469,469,415,"[ 1.01469e-13, 35.346 ]","[ 1, 1 ]","[ 2.98161e-08, 35.346 ]","[ 1.67848e-38, 23.028 ]",31488,1565,178993,1122,443,443,,"[ 2.0619e-08, 171.383 ]","[ 1, 1 ]","[ 6.17312e-05, 35.346 ]","[ 9.68222e-08, 1087.35 ]",45092,7023,,1.33,31488,1565,178993,1122,443,443,29,32,objective,-1.743096e+00,3028,1.0,6744,2281737,884.49,6,884.49,6744.0,0.010000000101000004,0,,,,,,,,,,,,,,,,,,5,47,39,,59,26,174,,,,,,,,4,,,,
