parameter,level,rows_with_level,pearson,abs_pearson,median_ratio_for_level,median_ratio_without_level,mean_ratio_for_level,mean_ratio_without_level
cutting_planes_cover,197.0,1,0.6683941853253886,0.6683941853253886,4.104690328742858,0.8699154979092004,4.104690328742858,0.9436645116150073
cutting_planes_learned,4.0,1,0.6683941853253886,0.6683941853253886,4.104690328742858,0.8699154979092004,4.104690328742858,0.9436645116150073
extra_simplex_iterations_after_uncrush,93,1,0.6683941853253886,0.6683941853253886,4.104690328742858,0.8699154979092004,4.104690328742858,0.9436645116150073
linear_constraint_matrix_constrs,76560,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
linear_constraint_matrix_constrs_presolved,31442,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
linear_constraint_matrix_nzs,552975,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
linear_constraint_matrix_vars,8528,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
linear_constraint_matrix_vars_presolved,1521,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
optimizer_presolve_removed_columns,7007,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
optimizer_presolve_removed_rows,45118,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
optimizer_presolved_columns,1521,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
optimizer_presolved_rows,31442,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
optimizer_presolved_variable_types_binary,423,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
optimizer_presolved_variable_types_integer,423,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
variable_types_binary,435,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
variable_types_binary_presolved,423,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
variable_types_continuous,8093,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
variable_types_integer,435,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
variable_types_integer_presolved,423,3,0.44171294288183605,0.44171294288183605,1.4251053302277787,0.8693443208607335,2.1600224255503346,0.9365913532863389
variable_bound_range_presolved,"[ 7.75677e-05, 35.346 ]",6,0.3926753547845385,0.3926753547845385,1.3608885668128632,0.8660914137136673,1.7083797093050732,0.922039278751181
cutting_planes_strongcg,1.0,11,0.38909323025979375,0.38909323025979375,1.0,0.8628385065666009,1.4946918149261803,0.8961190276921378
mip_final_status,11,10,0.38660785373786377,0.38660785373786377,1.305959562221163,0.8186258942864004,1.5203607269637762,0.9016332803833971
mip_final_status,6,62,-0.38660785373786377,0.38660785373786377,0.8186258942864004,1.305959562221163,0.9016332803833971,1.5203607269637762
extra_simplex_iterations_after_uncrush,19,3,0.3693016290405046,0.3693016290405046,2.3429336250343424,0.8693443208607335,1.967818433720999,0.9449480485832665
top_k,10,21,0.34759439504070644,0.34759439504070644,1.0778746774715178,0.8225492892424141,1.287373608689927,0.86411813472392
linear_constraint_matrix_nzs,553285,2,0.3409053628777044,0.3409053628777044,2.1038136416283506,0.869629909384967,2.1038136416283506,0.9556749052878812
linear_constraint_matrix_vars,8608,2,0.3409053628777044,0.3409053628777044,2.1038136416283506,0.869629909384967,2.1038136416283506,0.9556749052878812
linear_constraint_matrix_vars_presolved,1621,2,0.3409053628777044,0.3409053628777044,2.1038136416283506,0.869629909384967,2.1038136416283506,0.9556749052878812
optimizer_presolved_columns,1621,2,0.3409053628777044,0.3409053628777044,2.1038136416283506,0.869629909384967,2.1038136416283506,0.9556749052878812
variable_types_continuous,8153,2,0.3409053628777044,0.3409053628777044,2.1038136416283506,0.869629909384967,2.1038136416283506,0.9556749052878812
linear_constraint_matrix_constrs_presolved,31465,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
linear_constraint_matrix_nzs,553040,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
linear_constraint_matrix_vars_presolved,1543,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
optimizer_presolve_removed_columns,7015,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
optimizer_presolve_removed_rows,45105,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
optimizer_presolved_columns,1543,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
optimizer_presolved_rows,31465,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
optimizer_presolved_variable_types_continuous,1110,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
variable_types_binary,452,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
variable_types_continuous,8106,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
variable_types_continuous_presolved,1110,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
variable_types_integer,452,1,0.3372832685387618,0.3372832685387618,2.5605216761286544,0.8699154979092004,2.5605216761286544,0.9654133658771794
extra_simplex_iterations_dual_to_original,52,3,0.33260342260987497,0.33260342260987497,0.9393785464962274,0.8699154979092004,1.8704090456742666,0.949183239367907
