image_index,true_label,patch_size,patch_x,patch_y,elapsed_time,status_code,failed_labels,is_adversarial,has_counterexample,status_string
0,7,3,0,0,0 days 00:00:03.497570,,[],False,False,
1,2,3,0,0,0 days 00:00:02.986024,,[],False,False,
2,1,3,0,0,0 days 00:00:02.970639,,[],False,False,
3,0,3,0,0,0 days 00:00:02.970534,,[],False,False,
4,4,3,0,0,0 days 00:00:02.962782,,[],False,False,
5,1,3,0,0,0 days 00:00:03.114079,,[],False,False,
6,4,3,0,0,0 days 00:00:03.003237,,[],False,False,
7,9,3,0,0,0 days 00:00:02.993263,,[],False,False,
8,5,3,0,0,0 days 00:00:03.008838,,[],False,False,
9,9,3,0,0,0 days 00:00:02.963218,,[],False,False,
0,7,5,0,0,0 days 00:00:03.119739,,[],False,False,
1,2,5,0,0,0 days 00:00:03.084139,,[],False,False,
2,1,5,0,0,0 days 00:00:03.214033,,[],False,False,
3,0,5,0,0,0 days 00:00:03.170755,,[],False,False,
4,4,5,0,0,0 days 00:00:03.115550,,[],False,False,
5,1,5,0,0,0 days 00:00:03.167363,,[],False,False,
6,4,5,0,0,0 days 00:00:03.109496,,[],False,False,
7,9,5,0,0,0 days 00:00:03.135684,,[],False,False,
8,5,5,0,0,0 days 00:00:03.165195,,[],False,False,
9,9,5,0,0,0 days 00:00:03.183118,,[],False,False,
0,7,6,0,0,0 days 00:00:03.450218,,[],False,False,
1,2,6,0,0,0 days 00:00:03.435412,,[],False,False,
2,1,6,0,0,0 days 00:00:04.105770,,[],False,False,
3,0,6,0,0,0 days 00:00:03.384835,,[],False,False,
4,4,6,0,0,0 days 00:00:03.471391,,[],False,False,
5,1,6,0,0,0 days 00:00:03.832358,,[],False,False,
6,4,6,0,0,0 days 00:00:03.348311,,[],False,False,
7,9,6,0,0,0 days 00:00:03.576084,,[],False,False,
8,5,6,0,0,0 days 00:00:03.504370,,[],False,False,
9,9,6,0,0,0 days 00:00:03.565732,,[],False,False,
0,7,7,0,0,0 days 00:00:04.056397,,[],False,False,
1,2,7,0,0,0 days 00:00:04.041186,,[],False,False,
2,1,7,0,0,0 days 00:00:05.427599,,[],False,False,
3,0,7,0,0,0 days 00:00:04.666684,,[],False,False,
4,4,7,0,0,0 days 00:00:04.303129,,[],False,False,
5,1,7,0,0,0 days 00:00:05.175537,,[],False,False,
6,4,7,0,0,0 days 00:00:04.279306,,[],False,False,
